device,nautobot_version,observium_version,action
clart01,,22.4R3-S3.3,BACKFILL
clart02,,22.4R3-S3.3,BACKFILL
fc01rt01,,21.4R3.15,BACKFILL
fc01rt02,,21.4R3.15,BACKFILL
fc01rt03,,21.4R3.15,BACKFILL
fc01rt04,,21.4R3.15,BACKFILL
fc01rt05,,20.4R3-S3.4,BACKFILL
fc02rt01,,21.4R3-S2.3,BACKFILL
fc02rt02,,21.4R3-S2.3,BACKFILL
las1rt01,,22.2R3-S1.9,BACKFILL
las1rt02,,22.2R3-S1.9,BACKFILL
sf02rt01,,21.4R3-S2.3,BACKFILL
sf02rt02,,21.4R3-S2.3,BACKFILL
sunrt01,,22.2R3-S2.8,BACKFILL
sunrt02,,22.2R3-S2.8,BACKFILL
sunrt03,,22.4R2-S1.6,BACKFILL
sv5rt01,,21.4R3-S1.5,BACKFILL
